 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
Temperature (F), Relative Humidity (%), Alternate Coefs (True/False), Heat Index (F)
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,32,0,0
0,33,0,0
0,34,0,0
0,35,0,0
0,36,0,0
0,37,0,0
0,38,0,0
0,39,0,0
0,40,0,0
0,41,0,0
0,42,0,0
0,43,0,0
0,44,0,0
0,45,0,0
0,46,0,0
0,47,0,0
0,48,0,0
0,49,0,0
0,50,0,0
0,51,0,0
0,52,0,0
0,53,0,0
0,54,0,0
0,55,0,0
0,56,0,0
0,57,0,0
0,58,0,0
0,59,0,0
0,60,0,0
0,61,0,0
0,62,0,0
0,63,0,0
0,64,0,0
0,65,0,0
0,66,0,0
0,67,0,0
0,68,0,0
0,69,0,0
0,70,0,0
0,71,0,0
0,72,0,0
0,73,0,0
0,74,0,0
0,75,0,0
0,76,0,0
0,77,0,0
0,78,0,0
0,79,0,0
0,80,0,0
0,81,0,0
0,82,0,0
0,83,0,0
0,84,0,0
0,85,0,0
0,86,0,0
0,87,0,0
0,88,0,0
0,89,0,0
0,90,0,0
0,91,0,0
0,92,0,0
0,93,0,0
0,94,0,0
0,95,0,0
0,96,0,0
0,97,0,0
0,98,0,0
0,99,0,0
0,100,0,0
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,1
1,5,0,1
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,1
1,10,0,1
1,11,0,1
1,12,0,1
1,13,0,1
1,14,0,1
1,15,0,1
1,16,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
1,21,0,1
1,22,0,1
1,23,0,1
1,24,0,1
1,25,0,1
1,26,0,1
1,27,0,1
1,28,0,1
1,29,0,1
1,30,0,1
1,31,0,1
1,32,0,1
1,33,0,1
1,34,0,1
1,35,0,1
1,36,0,1
1,37,0,1
1,38,0,1
1,39,0,1
1,40,0,1
1,41,0,1
1,42,0,1
1,43,0,1
1,44,0,1
1,45,0,1
1,46,0,1
1,47,0,1
1,48,0,1
1,49,0,1
1,50,0,1
1,51,0,1
1,52,0,1
1,53,0,1
1,54,0,1
1,55,0,1
1,56,0,1
1,57,0,1
1,58,0,1
1,59,0,1
1,60,0,1
1,61,0,1
1,62,0,1
1,63,0,1
1,64,0,1
1,65,0,1
1,66,0,1
1,67,0,1
1,68,0,1
1,69,0,1
1,70,0,1
1,71,0,1
1,72,0,1
1,73,0,1
1,74,0,1
1,75,0,1
1,76,0,1
1,77,0,1
1,78,0,1
1,79,0,1
1,80,0,1
1,81,0,1
1,82,0,1
1,83,0,1
1,84,0,1
1,85,0,1
1,86,0,1
1,87,0,1
1,88,0,1
1,89,0,1
1,90,0,1
1,91,0,1
1,92,0,1
1,93,0,1
1,94,0,1
1,95,0,1
1,96,0,1
1,97,0,1
1,98,0,1
1,99,0,1
1,100,0,1
2,1,0,2
2,2,0,2
2,3,0,2
2,4,0,2
2,5,0,2
2,6,0,2
2,7,0,2
2,8,0,2
2,9,0,2
2,10,0,2
2,11,0,2
2,12,0,2
2,13,0,2
2,14,0,2
2,15,0,2
2,16,0,2
2,17,0,2
2,18,0,2
2,19,0,2
2,20,0,2
2,21,0,2
2,22,0,2
2,23,0,2
2,24,0,2
2,25,0,2
2,26,0,2
2,27,0,2
2,28,0,2
2,29,0,2
2,30,0,2
2,31,0,2
2,32,0,2
2,33,0,2
2,34,0,2
2,35,0,2
2,36,0,2
2,37,0,2
2,38,0,2
2,39,0,2
2,40,0,2
2,41,0,2
2,42,0,2
2,43,0,2
2,44,0,2
2,45,0,2
2,46,0,2
2,47,0,2
2,48,0,2
2,49,0,2
2,50,0,2
2,51,0,2
2,52,0,2
2,53,0,2
2,54,0,2
2,55,0,2
2,56,0,2
2,57,0,2
2,58,0,2
2,59,0,2
2,60,0,2
2,61,0,2
2,62,0,2
2,63,0,2
2,64,0,2
2,65,0,2
2,66,0,2
2,67,0,2
2,68,0,2
2,69,0,2
2,70,0,2
2,71,0,2
2,72,0,2
2,73,0,2
2,74,0,2
2,75,0,2
2,76,0,2
2,77,0,2
2,78,0,2
2,79,0,2
2,80,0,2
2,81,0,2
2,82,0,2
2,83,0,2
2,84,0,2
2,85,0,2
2,86,0,2
2,87,0,2
2,88,0,2
2,89,0,2
2,90,0,2
2,91,0,2
2,92,0,2
2,93,0,2
2,94,0,2
2,95,0,2
2,96,0,2
2,97,0,2
2,98,0,2
2,99,0,2
2,100,0,2
3,1,0,3
3,2,0,3
3,3,0,3
3,4,0,3
3,5,0,3
3,6,0,3
3,7,0,3
3,8,0,3
3,9,0,3
3,10,0,3
3,11,0,3
3,12,0,3
3,13,0,3
3,14,0,3
3,15,0,3
3,16,0,3
3,17,0,3
3,18,0,3
3,19,0,3
3,20,0,3
3,21,0,3
3,22,0,3
3,23,0,3
3,24,0,3
3,25,0,3
3,26,0,3
3,27,0,3
3,28,0,3
3,29,0,3
3,30,0,3
3,31,0,3
3,32,0,3
3,33,0,3
3,34,0,3
3,35,0,3
3,36,0,3
3,37,0,3
3,38,0,3
3,39,0,3
3,40,0,3
3,41,0,3
3,42,0,3
3,43,0,3
3,44,0,3
3,45,0,3
3,46,0,3
3,47,0,3
3,48,0,3
3,49,0,3
3,50,0,3
3,51,0,3
3,52,0,3
3,53,0,3
3,54,0,3
3,55,0,3
3,56,0,3
3,57,0,3
3,58,0,3
3,59,0,3
3,60,0,3
3,61,0,3
3,62,0,3
3,63,0,3
3,64,0,3
3,65,0,3
3,66,0,3
3,67,0,3
3,68,0,3
3,69,0,3
3,70,0,3
3,71,0,3
3,72,0,3
3,73,0,3
3,74,0,3
3,75,0,3
3,76,0,3
3,77,0,3
3,78,0,3
3,79,0,3
3,80,0,3
3,81,0,3
3,82,0,3
3,83,0,3
3,84,0,3
3,85,0,3
3,86,0,3
3,87,0,3
3,88,0,3
3,89,0,3
3,90,0,3
3,91,0,3
3,92,0,3
3,93,0,3
3,94,0,3
3,95,0,3
3,96,0,3
3,97,0,3
3,98,0,3
3,99,0,3
3,100,0,3
4,1,0,4
4,2,0,4
4,3,0,4
4,4,0,4
4,5,0,4
4,6,0,4
4,7,0,4
4,8,0,4
4,9,0,4
4,10,0,4
4,11,0,4
4,12,0,4
4,13,0,4
4,14,0,4
4,15,0,4
4,16,0,4
4,17,0,4
4,18,0,4
4,19,0,4
4,20,0,4
4,21,0,4
4,22,0,4
4,23,0,4
4,24,0,4
4,25,0,4
4,26,0,4
4,27,0,4
4,28,0,4
4,29,0,4
4,30,0,4
4,31,0,4
4,32,0,4
4,33,0,4
4,34,0,4
4,35,0,4
4,36,0,4
4,37,0,4
4,38,0,4
4,39,0,4
4,40,0,4
4,41,0,4
4,42,0,4
4,43,0,4
4,44,0,4
4,45,0,4
4,46,0,4
4,47,0,4
4,48,0,4
4,49,0,4
4,50,0,4
4,51,0,4
4,52,0,4
4,53,0,4
4,54,0,4
4,55,0,4
4,56,0,4
4,57,0,4
4,58,0,4
4,59,0,4
4,60,0,4
4,61,0,4
4,62,0,4
4,63,0,4
4,64,0,4
4,65,0,4
4,66,0,4
4,67,0,4
4,68,0,4
4,69,0,4
4,70,0,4
4,71,0,4
4,72,0,4
4,73,0,4
4,74,0,4
4,75,0,4
4,76,0,4
4,77,0,4
4,78,0,4
4,79,0,4
4,80,0,4
4,81,0,4
4,82,0,4
4,83,0,4
4,84,0,4
4,85,0,4
4,86,0,4
4,87,0,4
4,88,0,4
4,89,0,4
4,90,0,4
4,91,0,4
4,92,0,4
4,93,0,4
4,94,0,4
4,95,0,4
4,96,0,4
4,97,0,4
4,98,0,4
4,99,0,4
4,100,0,4
5,1,0,5
5,2,0,5
5,3,0,5
5,4,0,5
5,5,0,5
5,6,0,5
5,7,0,5
5,8,0,5
5,9,0,5
5,10,0,5
5,11,0,5
5,12,0,5
5,13,0,5
5,14,0,5
5,15,0,5
5,16,0,5
5,17,0,5
5,18,0,5
5,19,0,5
5,20,0,5
5,21,0,5
5,22,0,5
5,23,0,5
5,24,0,5
5,25,0,5
5,26,0,5
5,27,0,5
5,28,0,5
5,29,0,5
5,30,0,5
5,31,0,5
5,32,0,5
5,33,0,5
5,34,0,5
5,35,0,5
5,36,0,5
5,37,0,5
5,38,0,5
5,39,0,5
5,40,0,5
5,41,0,5
5,42,0,5
5,43,0,5
5,44,0,5
5,45,0,5
5,46,0,5
5,47,0,5
5,48,0,5
5,49,0,5
5,50,0,5
5,51,0,5
5,52,0,5
5,53,0,5
5,54,0,5
5,55,0,5
5,56,0,5
5,57,0,5
5,58,0,5
5,59,0,5
5,60,0,5
5,61,0,5
5,62,0,5
5,63,0,5
5,64,0,5
5,65,0,5
5,66,0,5
5,67,0,5
5,68,0,5
5,69,0,5
5,70,0,5
5,71,0,5
5,72,0,5
5,73,0,5
5,74,0,5
5,75,0,5
5,76,0,5
5,77,0,5
5,78,0,5
5,79,0,5
5,80,0,5
5,81,0,5
5,82,0,5
5,83,0,5
5,84,0,5
5,85,0,5
5,86,0,5
5,87,0,5
5,88,0,5
5,89,0,5
5,90,0,5
5,91,0,5
5,92,0,5
5,93,0,5
5,94,0,5
5,95,0,5
5,96,0,5
5,97,0,5
5,98,0,5
5,99,0,5
5,100,0,5
6,1,0,6
6,2,0,6
6,3,0,6
6,4,0,6
6,5,0,6
6,6,0,6
6,7,0,6
6,8,0,6
6,9,0,6
6,10,0,6
6,11,0,6
6,12,0,6
6,13,0,6
6,14,0,6
6,15,0,6
6,16,0,6
6,17,0,6
6,18,0,6
6,19,0,6
6,20,0,6
6,21,0,6
6,22,0,6
6,23,0,6
6,24,0,6
6,25,0,6
6,26,0,6
6,27,0,6
6,28,0,6
6,29,0,6
6,30,0,6
6,31,0,6
6,32,0,6
6,33,0,6
6,34,0,6
6,35,0,6
6,36,0,6
6,37,0,6
6,38,0,6
6,39,0,6
6,40,0,6
6,41,0,6
6,42,0,6
6,43,0,6
6,44,0,6
6,45,0,6
6,46,0,6
6,47,0,6
6,48,0,6
